uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
6336556296,5299558166,另一维度天空,微博动态，写给自己,1308,275,178,f,42,1,湖北 武汉,微博动态，写给自己,0,0,0,0,Sat Sep 20 15:07:42 +0800 2014
6336556296,7773542663,用户7883621426,,0,2,0,m,11,1,北京 东城区,,0,0,0,0,Fri Jul 15 19:13:41 +0800 2022
6336556296,6129497263,堕落街物语,,1,27,4,m,100,1000,其他,,0,0,0,0,Fri Feb 03 17:16:09 +0800 2017
6336556296,5997746034,Jxjdjdndjkdkd,，,22,215,189,f,51,1,四川 成都,，,0,0,0,0,Sun Aug 07 14:22:46 +0800 2016
6336556296,7813667242,-Nigaaar,🦌鹿茸,17,54,37,f,65,29,新疆 阿克苏,🦌鹿茸,0,0,0,0,Sun Jan 08 22:45:50 +0800 2023
6336556296,7813667242,-Nigaaar,🦌鹿茸,17,54,37,f,65,29,新疆 阿克苏,🦌鹿茸,0,0,0,0,Sun Jan 08 22:45:50 +0800 2023
6336556296,6027652905,Super懂,总有一天，你会站在最光亮的位置，活成你心目中最渴望的样子！,89,304,3,m,33,1000,浙江,总有一天，你会站在最光亮的位置，活成你心目中最渴望的样子！,0,0,0,0,Thu Sep 22 21:11:49 +0800 2016
6336556296,6322806177,拾jjk,Jungkook！,21,44,219,f,44,1000,广东,Jungkook！,0,0,0,0,Wed Jul 19 19:32:16 +0800 2017
6336556296,6449350981,小夏的云朵,,76,570,13,m,100,1000,其他,,0,0,0,0,Fri Jan 12 07:00:00 +0800 2018
6336556296,5586665915,-木木_rain,,59,196,11,f,71,1000,台湾,,0,0,0,0,Sun May 10 07:24:12 +0800 2015
6336556296,5673855262,艾明M,喜欢仪式感的生活，精致的人生,49,52,4,m,12,2,天津 河东区,喜欢仪式感的生活，精致的人生,0,0,0,0,Tue Aug 11 11:19:08 +0800 2015
6336556296,2219855044,O_千o,選擇,604,895,1879,f,44,6,广东 佛山,選擇,0,0,0,0,Wed Jul 06 22:07:28 +0800 2011
6336556296,5762419733,婕妤然然,,385,1757,1211,f,11,8,北京 海淀区,,0,0,0,0,Mon Nov 16 12:53:54 +0800 2015
6336556296,7876166352,霁月清风醉酒,清风饮酒，霁月当歌,0,7,1,f,100,1000,其他,清风饮酒，霁月当歌,0,0,0,0,Fri Oct 06 11:42:26 +0800 2023
6336556296,7656829872,恋渽日记本-,爱哭而被选中的北极熊,5,78,93,f,36,1000,江西,爱哭而被选中的北极熊,0,0,0,0,Sun Jul 25 19:40:01 +0800 2021
6336556296,5261037882,温柔的夏目呀,简简单单的活着,67,208,34,f,51,1000,四川,简简单单的活着,0,0,0,0,Mon Aug 18 08:17:31 +0800 2014
6336556296,7853159845,用户7853159845,,0,15,0,f,100,1000,其他,,0,0,0,0,Thu Jul 13 22:36:01 +0800 2023
6336556296,5755225298,蓝莓酱2580,我爱你，全世界都知道。你不爱我，我知道,42,252,563,f,100,1000,其他,我爱你，全世界都知道。你不爱我，我知道,0,1,0,0,Sat Nov 14 10:11:34 +0800 2015
6336556296,2233636135,UmmbreLllla,愿所遇之惊 皆成喜,244,423,95,f,33,6,浙江 绍兴,愿所遇之惊 皆成喜,0,0,0,0,Mon Mar 10 07:49:09 +0800 2014
6336556296,6974936473,丑角3590702,,2,66,0,m,100,1000,其他,,0,0,0,0,Sun Jan 27 13:49:55 +0800 2019
6336556296,7117151214,无所不能的花花公主,元气满满地爱每一天！,0,234,612,f,31,1000,上海,元气满满地爱每一天！,0,0,0,0,Sat May 04 12:14:10 +0800 2019
6336556296,6445523348,TiramisuFF526,,13,273,69,f,44,1,广东 广州,,0,0,0,0,Sat Jan 06 12:40:41 +0800 2018
6336556296,5494497019,人生如梦88087,,0,66,0,m,100,1000,其他,,0,0,0,0,Sun Jan 25 00:14:54 +0800 2015
6336556296,5585105855,珍宝珠666,,0,35,0,m,100,1000,其他,,0,0,0,0,Wed May 06 11:19:59 +0800 2015
6336556296,2793474454,你是猪精嘛-,/,180,31,1,m,42,1,湖北 武汉,/,0,0,0,0,Thu May 03 13:34:53 +0800 2012
6336556296,7808641088,sleepzZpc,hiphop,0,123,0,f,100,1000,其他,hiphop,0,0,0,0,Thu Dec 15 10:36:03 +0800 2022
6336556296,7802141932,钵福娃,說話不交稅,17,95,110,m,100,1000,其他,說話不交稅,0,0,0,0,Wed Nov 16 10:57:44 +0800 2022
6336556296,6282341787,HadiyaBebe,,2,112,36,f,100,1000,其他,,0,0,0,0,Wed Jul 05 00:37:32 +0800 2017
6336556296,6515618141,丢撵阿诺v,,2,115,19,f,32,7,江苏 连云港,,0,0,0,0,Sun Aug 26 07:49:31 +0800 2018
6336556296,6084267523,小猪猪闯荡世界,人生游戏,40,275,3,f,11,1000,北京,人生游戏,0,0,0,0,Mon Dec 19 23:06:24 +0800 2016
6336556296,7410510044,暴躁猪猫,活在精神内耗中一男的,16,75,16,m,21,2,辽宁 大连,活在精神内耗中一男的,0,0,0,0,Wed Mar 11 08:11:47 +0800 2020
6336556296,7319670982,pursuittt_,,4,833,4250,f,100,1000,其他,,0,0,0,0,Mon Oct 14 19:22:46 +0800 2019
